date,ticker,open,high,low,close,volume
2018-12-31,DJI,23153.939453125,23333.1796875,23118.30078125,23327.4609375,288830000
2019-01-02,DJI,23058.609375,23413.470703125,22928.58984375,23346.240234375,321570000
2019-01-03,DJI,23176.390625,23176.390625,22638.41015625,22686.220703125,424240000
2019-01-04,DJI,22894.919921875,23518.640625,22894.919921875,23433.16015625,396020000
2019-01-07,DJI,23474.259765625,23687.740234375,23301.58984375,23531.349609375,334200000
2019-01-08,DJI,23680.3203125,23864.650390625,23581.44921875,23787.44921875,317420000
2019-01-09,DJI,23844.26953125,24084.7109375,23703.16015625,23879.119140625,324570000
2019-01-10,DJI,23811.109375,24014.779296875,23703.25,24001.919921875,338150000
2019-01-11,DJI,23940.009765625,23996.3203125,23798.16015625,23995.94921875,262650000
2019-01-14,DJI,23880.529296875,23964.900390625,23765.240234375,23909.83984375,277560000
2019-01-15,DJI,23914.109375,24099.140625,23887.9296875,24065.58984375,291570000
2019-01-16,DJI,24139.91015625,24288.609375,24119.720703125,24207.16015625,302830000
2019-01-17,DJI,24147.08984375,24474.4609375,24088.900390625,24370.099609375,288590000
2019-01-18,DJI,24534.189453125,24750.220703125,24459.029296875,24706.349609375,372970000
2019-01-22,DJI,24607.759765625,24607.759765625,24244.310546875,24404.48046875,338480000
2019-01-23,DJI,24577.25,24700.98046875,24307.169921875,24575.619140625,318600000
2019-01-24,DJI,24579.9609375,24626.30078125,24422.73046875,24553.240234375,320170000
2019-01-25,DJI,24687.2109375,24860.150390625,24676.75,24737.19921875,376890000
2019-01-28,DJI,24596.98046875,24596.98046875,24323.939453125,24528.220703125,347170000
2019-01-29,DJI,24519.619140625,24674.869140625,24504.0390625,24579.9609375,330870000
2019-01-30,DJI,24826.51953125,25109.619140625,24790.900390625,25014.859375,397330000
2019-01-31,DJI,24954.48046875,25049.619140625,24842.08984375,24999.669921875,507350000
2019-02-01,DJI,25025.310546875,25193.150390625,24982.490234375,25063.890625,372090000
2019-02-04,DJI,25062.119140625,25239.91015625,24977.669921875,25239.369140625,298540000
2019-02-05,DJI,25287.9296875,25427.3203125,25287.650390625,25411.51953125,310650000
2019-02-06,DJI,25371.5703125,25439.0390625,25312.060546875,25390.30078125,247590000
2019-02-07,DJI,25265.810546875,25314.259765625,25000.51953125,25169.529296875,295460000
2019-02-08,DJI,25042.359375,25106.390625,24883.0390625,25106.330078125,248210000
2019-02-11,DJI,25142.810546875,25196.75,25009.099609375,25053.109375,241700000
2019-02-12,DJI,25152.029296875,25458.98046875,25152.029296875,25425.759765625,278110000
2019-02-13,DJI,25480.859375,25625.94921875,25480.859375,25543.26953125,263330000
2019-02-14,DJI,25460.650390625,25558.900390625,25308.08984375,25439.390625,313010000
2019-02-15,DJI,25564.630859375,25883.720703125,25564.630859375,25883.25,328530000
2019-02-19,DJI,25849.849609375,25961.439453125,25820.009765625,25891.3203125,280620000
2019-02-20,DJI,25872.259765625,25986.19921875,25846.48046875,25954.439453125,287880000
2019-02-21,DJI,25922.41015625,25938.880859375,25762.2109375,25850.630859375,255710000
2019-02-22,DJI,25906.26953125,26052.900390625,25906.26953125,26031.810546875,279760000
2019-02-25,DJI,26126.150390625,26241.419921875,26080.66015625,26091.94921875,281600000
2019-02-26,DJI,26051.609375,26155.2890625,25966.009765625,26057.98046875,257850000
2019-02-27,DJI,25995.599609375,26039.6796875,25877.240234375,25985.16015625,255380000
2019-02-28,DJI,25984.279296875,26029.2109375,25896.560546875,25916.0,338520000
2019-03-01,DJI,26019.669921875,26143.919921875,25914.369140625,26026.3203125,289890000
2019-03-04,DJI,26122.189453125,26155.98046875,25611.55078125,25819.650390625,295510000
2019-03-05,DJI,25829.0703125,25877.150390625,25725.630859375,25806.630859375,252260000
2019-03-06,DJI,25818.759765625,25837.609375,25633.7109375,25673.4609375,256250000
2019-03-07,DJI,25645.44921875,25645.44921875,25352.55078125,25473.23046875,289140000
2019-03-08,DJI,25347.380859375,25466.140625,25252.4609375,25450.240234375,270500000
2019-03-11,DJI,25208.0,25661.630859375,25208.0,25650.880859375,309790000
2019-03-12,DJI,25600.30078125,25675.439453125,25522.169921875,25554.66015625,317730000
2019-03-13,DJI,25637.23046875,25776.490234375,25571.310546875,25702.890625,331410000
2019-03-14,DJI,25692.310546875,25752.83984375,25621.310546875,25709.939453125,302790000
2019-03-15,DJI,25720.9609375,25927.91015625,25649.69921875,25848.869140625,616910000
2019-03-18,DJI,25801.880859375,25924.76953125,25785.66015625,25914.099609375,303170000
2019-03-19,DJI,25987.869140625,26109.6796875,25814.919921875,25887.380859375,342250000
2019-03-20,DJI,25867.7890625,25929.51953125,25670.630859375,25745.669921875,321980000
2019-03-21,DJI,25688.439453125,26009.900390625,25657.779296875,25962.509765625,335250000
2019-03-22,DJI,25844.650390625,25877.009765625,25501.44921875,25502.3203125,386510000
2019-03-25,DJI,25490.720703125,25603.26953125,25372.259765625,25516.830078125,303120000
2019-03-26,DJI,25649.560546875,25796.2890625,25544.779296875,25657.73046875,305110000
2019-03-27,DJI,25676.33984375,25758.169921875,25425.26953125,25625.58984375,270340000
2019-03-28,DJI,25693.3203125,25743.41015625,25576.689453125,25717.4609375,237170000
2019-03-29,DJI,25827.310546875,25949.3203125,25771.669921875,25928.6796875,300620000
2019-04-01,DJI,26075.099609375,26280.900390625,26071.689453125,26258.419921875,295570000
2019-04-02,DJI,26213.55078125,26221.240234375,26122.310546875,26179.130859375,250940000
2019-04-03,DJI,26238.029296875,26282.169921875,26138.470703125,26218.130859375,271980000
2019-04-04,DJI,26213.419921875,26398.900390625,26212.779296875,26384.630859375,233040000
2019-04-05,DJI,26427.560546875,26487.5703125,26370.8203125,26424.990234375,229550000
2019-04-08,DJI,26312.669921875,26344.650390625,26246.029296875,26341.01953125,229380000
2019-04-09,DJI,26243.5390625,26246.33984375,26103.140625,26150.580078125,244410000
2019-04-10,DJI,26173.7109375,26209.490234375,26101.240234375,26157.16015625,203130000
2019-04-11,DJI,26188.2109375,26229.880859375,26062.58984375,26143.05078125,211680000
2019-04-12,DJI,26357.7890625,26436.6796875,26309.720703125,26412.30078125,369910000
2019-04-15,DJI,26407.759765625,26424.849609375,26316.419921875,26384.76953125,250620000
2019-04-16,DJI,26482.189453125,26530.7109375,26397.189453125,26452.66015625,302340000
2019-04-17,DJI,26468.529296875,26501.01953125,26391.859375,26449.5390625,367780000
2019-04-18,DJI,26463.369140625,26602.419921875,26444.529296875,26559.5390625,332850000
